X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-75.169761,40.040737,4471,2615923W,Bus,26,Westbound,15923,Chelten Av & Morton St,40.040737,-75.169761,Fall 2023,24,52,10,20,9,24
-75.180862,39.972774,4472,3216558S,Bus,32,Southbound,16558,Poplar St & 27th St,39.972774,-75.180862,Fall 2023,15,8,6,1,4,0
-75.167175,40.043262,4473,2615921W,Bus,26,Westbound,15921,Chelten Av & Musgrave St,40.043262,-75.167175,Fall 2023,39,43,14,12,12,16
-75.18222,39.972946,4474,3216557S,Bus,32,Southbound,16557,Poplar St & 28th St,39.972946,-75.18222,Fall 2023,12,5,6,1,4,3
-75.18386,39.973155,4475,321313S,Bus,32,Southbound,1313,Poplar St & 29th St,39.973155,-75.18386,Fall 2023,34,8,15,4,12,2
-75.180267,40.030536,4476,2615931W,Bus,26,Westbound,15931,Chelten Av & Pulaski Av,40.030536,-75.180267,Fall 2023,97,80,7,30,13,27
-75.18547,39.973354,4477,3231117S,Bus,32,Southbound,31117,Poplar St & 30th St,39.973354,-75.18547,Fall 2023,12,2,5,2,4,3
-75.178848,40.031898,4478,2615661W,Bus,26,Westbound,15661,Chelten Av & Wayne Av,40.031898,-75.178848,Fall 2023,31,215,2,77,2,51
-75.212417,40.030929,4479,3216186S,Bus,32,Southbound,16186,Ridge Av & Gerhard St,40.030929,-75.212417,Fall 2023,20,2,10,0,6,0
-75.074035,40.025836,4480,2621602W,Bus,26,Westbound,21602,Cheltenham Av & Frankford Av - MBNS,40.025836,-75.074035,Fall 2023,2,0,1,0,0,0
-75.214706,40.03292,4481,32123S,Bus,32,Southbound,123,Ridge Av & Lyceum Av,40.03292,-75.214706,Fall 2023,75,2,30,1,30,0
-75.161224,40.043304,4482,2615919W,Bus,26,Westbound,15919,Chew Av & Church Ln,40.043304,-75.161224,Fall 2023,62,91,30,41,25,46
-75.213241,40.03165,4483,3216185S,Bus,32,Southbound,16185,Ridge Av & Monastary Av,40.03165,-75.213241,Fall 2023,23,0,7,1,1,0
-75.162635,40.044174,4484,2616979W,Bus,26,Westbound,16979,Chew Av & Locust Av,40.044174,-75.162635,Fall 2023,22,61,12,30,4,14
-75.211486,40.03004,4485,3216187S,Bus,32,Southbound,16187,Ridge Av & Roxborough Av,40.03004,-75.211486,Fall 2023,55,5,20,2,15,0
